title,address,city,state,postal_code,price,facts and features,real estate provider,url,lotSize,yearBuilt
House for sale,1809 Warwick Cv,CEDAR PARK,TX,78613,"$309,999","4 bds , 3 ba , 3,284 sqft",,https://www.zillow.com/homedetails/1809-Warwick-Cv-Cedar-Park-TX-78613/52828834_zpid/,"['""lotSize"": 9321.0,']","['""yearBuilt"": 1999,']"
House for sale,909 Whitewing Dr,CEDAR PARK,TX,78613,"$337,000","4 bds , 3 ba , 2,264 sqft",Homes ATX,https://www.zillow.com/homedetails/909-Whitewing-Dr-Cedar-Park-TX-78613/29592846_zpid/,"['""lotSize"": 10062.0,']","['""yearBuilt"": 1996,']"
House for sale,3126 Argento Pl,CEDAR PARK,TX,78613,"$359,950","4 bds , 3 ba , 2,303 sqft",Keller Williams Realty Cedar Park Leander,https://www.zillow.com/homedetails/3126-Argento-Pl-Cedar-Park-TX-78613/70337864_zpid/,"['""lotSize"": 7797.0,']","['""yearBuilt"": 2005,']"
House for sale,1916 Ruthie Run,CEDAR PARK,TX,78613,"$274,999","4 bds , 4 ba , 2,896 sqft",RE/MAX TEMPLE-BELTON,https://www.zillow.com/homedetails/1916-Ruthie-Run-Cedar-Park-TX-78613/52828998_zpid/,"['""lotSize"": 7588.0,']","['""yearBuilt"": 2001,']"
House for sale,2100 Simbrah Dr,CEDAR PARK,TX,78613,"$359,500","5 bds , 3 ba , 2,701 sqft","Regency, Realtors",https://www.zillow.com/homedetails/2100-Simbrah-Dr-Cedar-Park-TX-78613/29379200_zpid/,"['""lotSize"": 7927.0,']","['""yearBuilt"": 1995,']"
House for sale,1305 Spotted Fawn Cv,CEDAR PARK,TX,78613,"$359,995","4 bds , 3.5 ba , 3,052 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/1305-Spotted-Fawn-Cv-Cedar-Park-TX-78613/29592958_zpid/,"['""lotSize"": 9016.0,']","['""yearBuilt"": 1998,']"
Auction,2417 Hollis Ln,CEDAR PARK,TX,78613,$295K,"4 bds , 3 ba , 2,660 sqft",Briko Realty Services,https://www.zillow.com/homedetails/2417-Hollis-Ln-Cedar-Park-TX-78613/70992018_zpid/,"['""lotSize"": 8755.0,']","['""yearBuilt"": 2005,']"
House for sale,1400 Deer Horn Dr,CEDAR PARK,TX,78613,"$324,999","4 bds , 3 ba , 2,705 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/1400-Deer-Horn-Dr-Cedar-Park-TX-78613/29592911_zpid/,"['""lotSize"": 10715.0,']","['""yearBuilt"": 1996,']"
House for sale,916 Annadale Dr,CEDAR PARK,TX,78613,"$394,900","4 bds , 4 ba , 3,232 sqft","Door Texas Realty, LLC",https://www.zillow.com/homedetails/916-Annadale-Dr-Cedar-Park-TX-78613/88022086_zpid/,"['""lotSize"": 7753.0,']","['""yearBuilt"": 2008,']"
House for sale,2110 Rachel Rdg,CEDAR PARK,TX,78613,"$337,000","5 bds , 3 ba , 3,268 sqft","REILLY, REALTORS®",https://www.zillow.com/homedetails/2110-Rachel-Rdg-Cedar-Park-TX-78613/29613551_zpid/,"['""lotSize"": 8842.0,']","['""yearBuilt"": 2000,']"
House for sale,306 Bryce Canyon Dr,CEDAR PARK,TX,78613,"$299,000","4 bds , 3 ba , 2,600 sqft",Property Consultants of Austin,https://www.zillow.com/homedetails/306-Bryce-Canyon-Dr-Cedar-Park-TX-78613/29581157_zpid/,"['""lotSize"": 13416.0,']","['""yearBuilt"": 1993,']"
House for sale,2111 Burnie Bishop Pl,CEDAR PARK,TX,78613,"$389,900","4 bds , 3 ba , 2,998 sqft",,https://www.zillow.com/homedetails/2111-Burnie-Bishop-Pl-Cedar-Park-TX-78613/67006968_zpid/,"['""lotSize"": 7753.0,']","['""yearBuilt"": 2003,']"
House for sale,1210 Dove Cir,CEDAR PARK,TX,78613,"$379,997","4 bds , 3 ba , 2,797 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/1210-Dove-Cir-Cedar-Park-TX-78613/29587393_zpid/,"['""lotSize"": 11369.0,']","['""yearBuilt"": 1991,']"
House for sale,807 Lone Buck Pass,CEDAR PARK,TX,78613,"$375,000","4 bds , 3 ba , 3,071 sqft",Watters International Realty,https://www.zillow.com/homedetails/807-Lone-Buck-Pass-Cedar-Park-TX-78613/58268939_zpid/,"['""lotSize"": 8276.0,']","['""yearBuilt"": 2002,']"
House for sale,(undisclosed Address),CEDAR PARK,TX,78613,"$389,900","4 bds , 3 ba , 2,662 sqft",Violet Crown Properties,https://www.zillow.com/homedetails/(undisclosed-Address)-Cedar-Park-TX-78613/2088447029_zpid/,"['""lotSize"": 8755.0,']","['""yearBuilt"": 2011,']"
House for sale,3240 E Whitestone Blvd UNIT 38,Cedar Park,TX,78613,"$369,500","4 bds , 4 ba , 2,512 sqft",Engel & Volkers Austin Westlake,https://www.zillow.com/homedetails/3240-E-Whitestone-Blvd-UNIT-38-Cedar-Park-TX-78613/243337995_zpid/,"['""lotSize"": 8668.0,']","['""yearBuilt"": 2017,']"
